Restaurant ID,Restaurant First Active Date,GMV (Gross Merchandise Value) (EUR),Total Sales Before Discount (EUR),Commission (EUR),Bolt Investments to User Discounts (EUR),Restaurant Investments to User Discount (EUR),Net Rate (%),Requested Orders,Total Number of Delivered Orders,Monthly Active Users,New Users,Menu Conversion (%),Availability Rate (%),Menu Photo Coverage (%),restaurant Average Rates,Restaurant Total Rates,Restaurant Avergae Cooking Time
56241,44861,902.430879,830.103589,239.8150123,52.64689219,0,0.07527442,70,69,54,5,0.1369863,0.940843582,0.047244094,3.599999905,18,7.405797005
55441,44861,1315.806507,1236.53031,181.631867,5.24848245,370.9595,0.05124321,65,65,51,0,0.077658303,0.952565789,0.899999976,3.888888836,35,12.63076878
55439,44860,5061.978019,4726.746,595.4122229,19.40312274,1890.6981,0.02320186,249,246,177,3,0.099518456,0.91546309,0.899999976,4.079999924,102,15.8780489
56242,44860,1699.98574,1573.936586,447.9812817,61.11553841,0,0.11322922,135,135,88,1,0.234782606,0.994135976,0.05185185,4.090909004,45,7.496296406
55737,44860,497.507128,452.455836,116.9039578,64.80665409,0,-0.01780115,45,40,35,6,0.219999999,0.930352509,0.484848499,4,12,11.375
54407,44859,941.461916,941.461916,138.3860523,154.5009665,18.8776,-0.0171169,40,39,36,5,0.073664822,0.943695128,0.693333328,,0,74.64102936
45721,44858,2874.542742,2602.789369,536.9568841,208.230895,0,-0.00580231,191,181,160,5,0.094264336,0.952088535,0.822544634,3.166666746,76,16.45303917
53361,44857,9928.764038,9208.818629,1659.938159,0,3712.683,0.06270593,508,507,391,3,0.144162148,0.998331368,0.119047619,3.808510542,179,12.3688364
55793,44857,65.902325,53.84037,14.5390294,1.05869208,0,-0.00030495,8,6,6,0,0.142857149,0.826290488,0.50526315,,0,6.666666508
55971,44855,12154.49918,11285.35635,2025.756361,-2.11177476,4570.7985,0.07268226,631,627,471,6,0.171483099,0.952125013,0.164858997,4.166666508,275,16.88038254
55408,44855,739.502844,696.773283,149.8055835,43.76772492,0,0.0393272,52,50,42,2,0.160493821,0.806295455,1,4.333333492,13,8.720000267
55621,44853,196.000976,190.017598,39.90264713,0,57.0053,0.15649073,7,6,6,0,0.029411765,0.952048123,0.147719979,5,5,17.83333397
55622,44853,48.578344,47.087366,9.88728677,1.05107171,14.1262,0.09500321,2,2,2,0,0.009302326,0.952045083,0.151815176,,0,18.5
55638,44852,571.471297,514.14072,102.84967,25.48989899,0,-0.00922777,47,45,42,1,0.213953495,0.918562651,0.75,4,16,11.19999981
50253,44851,45.578646,36.07936,10.82380802,3.60379509,0,-0.01597801,5,5,5,0,0.166666672,0.780239463,0.166666672,,0,0
51942,44851,1291.809952,1176.987366,270.7151701,110.3113264,0,0.00661557,76,75,66,3,0.152304605,0.911614656,0.934065938,3.222222328,29,10.64000034
55620,44848,936.028582,902.876156,186.1445312,0,0,0.15275035,26,25,19,1,0.054736841,0.95202291,0.147719979,3.333333254,10,16.07999992
55225,44848,890.814946,837.42568,207.4367313,54.65567973,0,0.0651015,51,51,41,4,0.184905663,0.95763123,0.031847134,4.428571224,31,14.29411793
55513,44847,830.197436,785.49893,149.2817869,4.71170243,0,0.11228748,50,50,47,0,0.080906145,0.993992388,0.106060609,3.333333254,10,18.12000084
55196,44845,1186.062806,1101.095422,324.094908,34.2596719,0,0.13003997,104,104,83,4,0.170529798,0.952321291,0.5,4.166666508,50,14.72115421
52474,44845,3149.840693,2881.692373,590.3802515,0,146.6739,0.07272322,182,182,151,2,0.111042947,0.998474896,0.568181813,4.199999809,105,13.06043911
54277,44844,4912.365607,4712.7106,788.7069142,7.5343914,0,0.07705745,282,282,218,15,0.25428313,0.997870684,0.775862098,4.357142925,122,16.62056732
54857,44842,522.84891,478.494679,96.52511208,0,170.4612,0.09114726,27,26,17,0,0.02112676,0.943119466,0.815498173,4.333333492,13,24.30769157
53995,44841,896.699803,836.391594,189.4524851,191.6452818,0,-0.11615775,59,58,47,0,0.125550658,0.988353252,1,4.333333492,52,23.37931061
54652,44841,116.138301,107.715598,29.08321166,11.97350676,0,0.11449089,4,4,4,0,0.024242423,0.949964046,0.783505142,3,6,21.5
53994,44841,1278.575773,1194.370763,270.2317334,266.7003203,0,-0.10123885,75,75,66,3,0.138376385,0.975817144,1,4,24,24.76000023
54868,44840,1311.959583,1205.862384,348.6330037,31.24923068,0,0.11431277,110,105,91,0,0.253554493,0.500364602,0,4.529411793,77,16.09523773
54680,44839,308.799025,279.521737,75.45737403,22.45288397,0,0.04725914,25,25,18,0,0.206611574,0.973200202,0.200000003,3.142857075,22,8.399999619
54646,44839,117.876138,115.774472,16.20842614,7.31379765,0,0.07545741,2,2,2,0,0.019607844,0.910491765,0.065420561,,0,21
20745,44839,939.426708,910.952291,243.4174207,15.68954424,0,0.18449414,38,38,28,2,0.123745821,0.994009197,0.793814421,,0,14.68421078
54446,44839,113.063065,105.120963,26.46101818,14.92857228,0,-0.01500304,13,11,8,0,0.183098584,0.888416469,0.458333343,4,4,7.818181992
54645,44838,225.422854,210.76964,49.93320104,44.74293189,0,-0.0749574,15,15,13,4,0.107142858,0.961947083,0.024539877,5,5,17.33333397
54714,44838,1865.405941,1578.861171,404.3873996,3.41230755,236.6399,0.02995271,168,168,133,2,0.15520446,0.810213566,0.146341458,2.944444418,53,10.13690472
54712,44838,2723.021099,2331.078258,634.8779453,52.40107857,214.8187,0.05687524,265,263,225,13,0.142243698,0.723331094,0.146341458,3.464285612,97,9.425855637
54644,44838,697.312968,660.862673,164.9203393,60.13853785,0,0.03684973,48,48,40,0,0.169611305,0.994587898,0.024539877,5,10,18.10416603
53709,44835,894.640214,792.376156,236.9193297,26.10696211,0,0.11411555,71,67,51,1,0.118443318,0.765567899,0,3.857142925,27,12.71641827
53369,44834,4679.586009,4415.015046,963.0173459,547.8515497,0,-0.00429151,250,249,219,2,0.23624289,0.977973938,0.980000019,4.133333206,124,20
45727,44834,5866.798624,5562.854672,1170.607589,409.4114388,0,0.05355945,233,221,195,8,0.088675626,0.908612013,0.967334509,3.296296358,89,24.19909477
54415,44832,64.772822,57.917795,15.34491185,3.17122523,3.1094,0.03915684,5,5,5,1,0.010416667,1,0.956521749,3,3,8.199999809
54413,44832,27.621326,25.346395,6.26824372,0.52525772,2.9598,0.12046079,2,2,2,0,0.003669725,0.995289028,0.956521749,1,1,24
54282,44831,25.227333,22.128905,6.39341376,0.52643318,0.8175,0.01555158,4,2,2,0,0.100000001,0.949973941,0.968152881,,0,9
